smdg_path,txt_path,smdg_short,txt_short,smdg_label,txt_label,forward_pair_id,reverse_pair_id,smdg_sentence_count,txt_sentence_count,matrix_score_count,f_max,r_max,max_min,max_delta_abs,f_p95,r_p95,p95_min,p95_delta_abs,f_smdg_to_txt,r_smdg_to_txt,smdg_to_txt_min,smdg_to_txt_delta_abs,f_txt_to_smdg,r_txt_to_smdg,txt_to_smdg_min,txt_to_smdg_delta_abs,local_spike_survival,broad_affinity_survival,smdg_to_txt_survival,txt_to_smdg_survival,direction_balance,overall_survival,overall_rank,signal_label,reading_reason
12-SMDG-lhug-par-bzhag-pa.txt,LL02_་nam-mkha_-rgyal-po_vol8-v475-480.txt,12-SMDG-lhug-par-bzhag-pa,LL02_་nam-mkha_-rgyal-po_vol8-v475-480,SMDG 12 | lhug par bzhag pa,Txt-18 LL02 | nam mkha rgyal po vol8 v475 480,A014__B011,A011__B014,192,113,21696,0.670834,0.676432,0.670834,0.005598,0.441731,0.449411,0.441731,0.007679,0.501637,0.511924,0.501637,0.010287,0.513724,0.519619,0.513724,0.005895,0.568182,0.911932,0.741477,0.664773,0.923296,0.755966,11,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
09c-SMDG-rgyun-thag-grel-147-160.txt,L3-khyung-chen_V8-p448-468.txt,09c-SMDG-rgyun-thag-grel-147-160,L3-khyung-chen_V8-p448-468,SMDG 09c | rgyun thag grel 147 160,Txt-18 L3 | khyung chen V8 p448 468,A011__B005,A005__B011,356,494,175864,0.681389,0.683998,0.681389,0.00261,0.430089,0.43091,0.430089,0.000821,0.532866,0.540155,0.532866,0.007289,0.515075,0.514467,0.514467,0.000608,0.659091,0.684659,0.948864,0.681818,0.732954,0.746165,12,SMDG covers Txt-18,Many SMDG sentences find strong Txt-18 matches in both runs; useful for testing whether SMDG draws on that text family.
12-SMDG-lhug-par-bzhag-pa.txt,LL08_thig-le-drug-pa-NGB-vol33_256-280.txt,12-SMDG-lhug-par-bzhag-pa,LL08_thig-le-drug-pa-NGB-vol33_256-280,SMDG 12 | lhug par bzhag pa,Txt-18 LL08 | thig le drug pa NGB vol33 256 280,A014__B017,A017__B014,192,65,12480,0.730524,0.732805,0.730524,0.002281,0.437825,0.444378,0.437825,0.006553,0.48868,0.499173,0.48868,0.010493,0.499331,0.504563,0.499331,0.005232,0.894886,0.877841,0.630682,0.579545,0.948863,0.744034,13,Local sentence spike,"A very high best sentence pair survives both directions; inspect for quotation, formula, or shared stock phrase."
09c-SMDG-rgyun-thag-grel-147-160.txt,L3-khyung-chen_p447-468.txt,09c-SMDG-rgyun-thag-grel-147-160,L3-khyung-chen_p447-468,SMDG 09c | rgyun thag grel 147 160,Txt-18 L3 | khyung chen p447 468,A011__B006,A006__B011,356,494,175864,0.681389,0.683998,0.681389,0.00261,0.430089,0.43091,0.430089,0.000821,0.532866,0.540155,0.532866,0.007289,0.515075,0.514467,0.514467,0.000608,0.65625,0.681818,0.946023,0.678977,0.732954,0.743324,14,SMDG covers Txt-18,Many SMDG sentences find strong Txt-18 matches in both runs; useful for testing whether SMDG draws on that text family.
09c-SMDG-rgyun-thag-grel-147-160.txt,LL04_byang-chub-sems-tig.-Liljenberg-p273.txt,09c-SMDG-rgyun-thag-grel-147-160,LL04_byang-chub-sems-tig.-Liljenberg-p273,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL04 | byang chub sems tig. Liljenberg p273,A011__B013,A013__B011,356,19,6764,0.651617,0.658032,0.651617,0.006415,0.457976,0.457889,0.457889,8.6e-05,0.467495,0.467925,0.467495,0.00043,0.551836,0.549794,0.549794,0.002043,0.431818,0.991477,0.369318,0.954545,0.414773,0.742755,15,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
08-SMDG-cog-bzhag-grel.txt,LL04_byang-chub-sems-tig.-Liljenberg-p273.txt,08-SMDG-cog-bzhag-grel,LL04_byang-chub-sems-tig.-Liljenberg-p273,SMDG 08 | cog bzhag grel,Txt-18 LL04 | byang chub sems tig. Liljenberg p273,A008__B013,A013__B008,314,19,5966,0.823833,0.825094,0.823833,0.001261,0.442041,0.447548,0.442041,0.005507,0.439885,0.444725,0.439885,0.00484,0.555711,0.544337,0.544337,0.011374,0.985795,0.917614,0.153409,0.923295,0.230114,0.73821,16,Local sentence spike,"A very high best sentence pair survives both directions; inspect for quotation, formula, or shared stock phrase."
09c-SMDG-rgyun-thag-grel-147-160.txt,L5_nam-mkha_-che-rgyas-pa-yi-ge-med-pa_V8-p.468-473.txt,09c-SMDG-rgyun-thag-grel-147-160,L5_nam-mkha_-che-rgyas-pa-yi-ge-med-pa_V8-p.468-473,SMDG 09c | rgyun thag grel 147 160,Txt-18 L5 | nam mkha che rgyas pa yi ge med pa V8 p.468 473,A011__B009,A009__B011,356,127,45212,0.706812,0.701191,0.701191,0.005621,0.436696,0.435925,0.435925,0.000772,0.499739,0.501618,0.499739,0.00188,0.515295,0.51897,0.515295,0.003675,0.764205,0.784091,0.707386,0.6875,0.980114,0.737784,17,Mixed signal,"Worth checking only after stronger survival candidates, or as a contrast case."
11-SMDG-sems-lung-rgyun-thag-_grel.txt,LL13-sgom-pa-don-grub-185-r-v.txt,11-SMDG-sems-lung-rgyun-thag-_grel,LL13-sgom-pa-don-grub-185-r-v,SMDG 11 | sems lung rgyun thag grel,Txt-18 LL13 | sgom pa don grub 185 r v,A013__B022,A022__B013,122,28,3416,0.70116,0.706662,0.70116,0.005502,0.45479,0.44791,0.44791,0.00688,0.47484,0.472958,0.472958,0.001882,0.527831,0.519622,0.519622,0.008209,0.792614,0.931818,0.428977,0.732955,0.696022,0.735511,18,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
09b-SMDG-rgyun-thag-gzhung-145-147.txt,LL07_L10_srog-gi-_khor-lo_v8.p491-494.txt,09b-SMDG-rgyun-thag-gzhung-145-147,LL07_L10_srog-gi-_khor-lo_v8.p491-494,SMDG 09b | rgyun thag gzhung 145 147,Txt-18 LL07 | L10 srog gi khor lo v8.p491 494,A010__B016,A016__B010,68,71,4828,0.734313,0.778669,0.734313,0.044357,0.439385,0.447254,0.439385,0.007869,0.483996,0.501712,0.483996,0.017715,0.496511,0.507927,0.496511,0.011416,0.926136,0.892045,0.576705,0.556818,0.980113,0.734517,19,Local sentence spike,"A very high best sentence pair survives both directions; inspect for quotation, formula, or shared stock phrase."
13-ngang-thag_sems-smad-sde-dgu-TTN-v3.txt,LL03_L16_bde-ba-phra-bkod_V8-p.495-498.txt,13-ngang-thag_sems-smad-sde-dgu-TTN-v3,LL03_L16_bde-ba-phra-bkod_V8-p.495-498,SMDG | 13 ngang thag sems smad sde dgu TTN v3,Txt-18 LL03 | L16 bde ba phra bkod V8 p.495 498,A015__B012,A012__B015,544,80,43520,0.696375,0.720835,0.696375,0.024461,0.431814,0.439221,0.431814,0.007407,0.468348,0.480993,0.468348,0.012645,0.562546,0.569269,0.562546,0.006724,0.815341,0.741477,0.411932,0.997159,0.414773,0.734091,20,Txt-18 covered by SMDG,Many Txt-18 sentences find strong SMDG matches in both runs; useful for testing whether a shorter source is represented inside SMDG.
09c-SMDG-rgyun-thag-grel-147-160.txt,LL08_thig-le-drug-pa-NGB-vol33_256-280.txt,09c-SMDG-rgyun-thag-grel-147-160,LL08_thig-le-drug-pa-NGB-vol33_256-280,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL08 | thig le drug pa NGB vol33 256 280,A011__B017,A017__B011,356,65,23140,0.66093,0.682417,0.66093,0.021487,0.438281,0.438603,0.438281,0.000322,0.489327,0.496464,0.489327,0.007137,0.5277,0.52817,0.5277,0.00047,0.522727,0.838068,0.636364,0.801136,0.835228,0.731108,21,Mixed signal,"Worth checking only after stronger survival candidates, or as a contrast case."
09b-SMDG-rgyun-thag-gzhung-145-147.txt,LL03_L16_bde-ba-phra-bkod_V8-p.495-498.txt,09b-SMDG-rgyun-thag-gzhung-145-147,LL03_L16_bde-ba-phra-bkod_V8-p.495-498,SMDG 09b | rgyun thag gzhung 145 147,Txt-18 LL03 | L16 bde ba phra bkod V8 p.495 498,A010__B012,A012__B010,68,80,5440,0.734313,0.778669,0.734313,0.044357,0.434799,0.439345,0.434799,0.004546,0.488954,0.501851,0.488954,0.012896,0.494878,0.497123,0.494878,0.002245,0.928977,0.806818,0.633523,0.539773,0.90625,0.715057,22,Local sentence spike,"A very high best sentence pair survives both directions; inspect for quotation, formula, or shared stock phrase."
09c-SMDG-rgyun-thag-grel-147-160.txt,LL01_L14_rtse-mo-byung-rgyal_vol8-p480-491.txt,09c-SMDG-rgyun-thag-grel-147-160,LL01_L14_rtse-mo-byung-rgyal_vol8-p480-491,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL01 | L14 rtse mo byung rgyal vol8 p480 491,A011__B010,A010__B011,356,268,95408,0.718002,0.719944,0.718002,0.001943,0.423811,0.429175,0.423811,0.005364,0.519041,0.526869,0.519041,0.007829,0.515163,0.519144,0.515163,0.003981,0.846591,0.571023,0.866477,0.684659,0.818182,0.714631,23,SMDG covers Txt-18,Many SMDG sentences find strong Txt-18 matches in both runs; useful for testing whether SMDG draws on that text family.
08-SMDG-cog-bzhag-grel.txt,LL02_་nam-mkha_-rgyal-po_vol8-v475-480.txt,08-SMDG-cog-bzhag-grel,LL02_་nam-mkha_-rgyal-po_vol8-v475-480,SMDG 08 | cog bzhag grel,Txt-18 LL02 | nam mkha rgyal po vol8 v475 480,A008__B011,A011__B008,314,113,35482,0.818169,0.837624,0.818169,0.019456,0.42908,0.43083,0.42908,0.00175,0.478891,0.484666,0.478891,0.005774,0.528812,0.524931,0.524931,0.003881,0.994318,0.667614,0.534091,0.772727,0.761364,0.709517,24,Local sentence spike,"A very high best sentence pair survives both directions; inspect for quotation, formula, or shared stock phrase."
09c-SMDG-rgyun-thag-grel-147-160.txt,LL09_spyi-gcod_vol8_p.498.txt,09c-SMDG-rgyun-thag-grel-147-160,LL09_spyi-gcod_vol8_p.498,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL09 | spyi gcod vol8 p.498,A011__B018,A018__B011,356,21,7476,0.644244,0.676444,0.644244,0.0322,0.444981,0.449863,0.444981,0.004882,0.457918,0.46587,0.457918,0.007951,0.545573,0.555114,0.545573,0.009542,0.423295,0.931818,0.323864,0.940341,0.383523,0.705682,25,Txt-18 covered by SMDG,Many Txt-18 sentences find strong SMDG matches in both runs; useful for testing whether a shorter source is represented inside SMDG.
09c-SMDG-rgyun-thag-grel-147-160.txt,0-Older-versions/L2-rtsal-chen_p436-447་.txt,09c-SMDG-rgyun-thag-grel-147-160,L2-rtsal-chen_p436-447་,SMDG 09c | rgyun thag grel 147 160,Txt-18 older witness | L2 | rtsal chen p436 447,A011__B002,A002__B011,356,242,86152,0.663651,0.681873,0.663651,0.018222,0.436229,0.433498,0.433498,0.002731,0.512508,0.513225,0.512508,0.000717,0.515524,0.511468,0.511468,0.004056,0.556818,0.732955,0.792614,0.65625,0.863636,0.702273,26,Mixed signal,"Worth checking only after stronger survival candidates, or as a contrast case."
09c-SMDG-rgyun-thag-grel-147-160.txt,L2-rtsal-chen_V8-p436-447་.txt,09c-SMDG-rgyun-thag-grel-147-160,L2-rtsal-chen_V8-p436-447་,SMDG 09c | rgyun thag grel 147 160,Txt-18 L2 | rtsal chen V8 p436 447,A011__B004,A004__B011,356,242,86152,0.663651,0.681873,0.663651,0.018222,0.436229,0.433498,0.433498,0.002731,0.512508,0.513225,0.512508,0.000717,0.515524,0.511468,0.511468,0.004056,0.553977,0.730114,0.789773,0.653409,0.863636,0.699432,27,Mixed signal,"Worth checking only after stronger survival candidates, or as a contrast case."
13-ngang-thag_sems-smad-sde-dgu-TTN-v3.txt,LL08_thig-le-drug-pa-NGB-vol33_256-280.txt,13-ngang-thag_sems-smad-sde-dgu-TTN-v3,LL08_thig-le-drug-pa-NGB-vol33_256-280,SMDG | 13 ngang thag sems smad sde dgu TTN v3,Txt-18 LL08 | thig le drug pa NGB vol33 256 280,A015__B017,A017__B015,544,65,35360,0.790259,0.743043,0.743043,0.047216,0.428873,0.430342,0.428873,0.00147,0.466148,0.468742,0.466148,0.002594,0.548482,0.548278,0.548278,0.000204,0.923295,0.65625,0.377841,0.943182,0.434659,0.698437,28,Txt-18 covered by SMDG,Many Txt-18 sentences find strong SMDG matches in both runs; useful for testing whether a shorter source is represented inside SMDG.
13-ngang-thag_sems-smad-sde-dgu-TTN-v3.txt,LL02_་nam-mkha_-rgyal-po_vol8-v475-480.txt,13-ngang-thag_sems-smad-sde-dgu-TTN-v3,LL02_་nam-mkha_-rgyal-po_vol8-v475-480,SMDG | 13 ngang thag sems smad sde dgu TTN v3,Txt-18 LL02 | nam mkha rgyal po vol8 v475 480,A015__B011,A011__B015,544,113,61472,0.73946,0.738869,0.738869,0.000592,0.427477,0.430379,0.427477,0.002901,0.466868,0.469764,0.466868,0.002897,0.54467,0.547257,0.54467,0.002587,0.900568,0.659091,0.389205,0.934659,0.454546,0.696733,29,Txt-18 covered by SMDG,Many Txt-18 sentences find strong SMDG matches in both runs; useful for testing whether a shorter source is represented inside SMDG.
12-SMDG-lhug-par-bzhag-pa.txt,L3-khyung-chen_V8-p448-468.txt,12-SMDG-lhug-par-bzhag-pa,L3-khyung-chen_V8-p448-468,SMDG 12 | lhug par bzhag pa,Txt-18 L3 | khyung chen V8 p448 468,A014__B005,A005__B014,192,494,94848,0.697044,0.705384,0.697044,0.00834,0.425188,0.431106,0.425188,0.005918,0.530284,0.538783,0.530284,0.008499,0.488942,0.496015,0.488942,0.007073,0.784091,0.602273,0.926136,0.517045,0.590909,0.689204,30,SMDG covers Txt-18,Many SMDG sentences find strong Txt-18 matches in both runs; useful for testing whether SMDG draws on that text family.
12-SMDG-lhug-par-bzhag-pa.txt,LL06_L15_bde-ba-rab-_byams_vol8-p.473-475-not-sure.txt,12-SMDG-lhug-par-bzhag-pa,LL06_L15_bde-ba-rab-_byams_vol8-p.473-475-not-sure,SMDG 12 | lhug par bzhag pa,Txt-18 LL06 | L15 bde ba rab byams vol8 p.473 475 not sure,A014__B015,A015__B014,192,49,9408,0.694735,0.712237,0.694735,0.017502,0.436506,0.448942,0.436506,0.012436,0.464252,0.484454,0.464252,0.020202,0.516117,0.52655,0.516117,0.010433,0.806818,0.855114,0.363636,0.707386,0.65625,0.688068,31,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
09b-SMDG-rgyun-thag-gzhung-145-147.txt,L3-khyung-chen_V8-p448-468.txt,09b-SMDG-rgyun-thag-gzhung-145-147,L3-khyung-chen_V8-p448-468,SMDG 09b | rgyun thag gzhung 145 147,Txt-18 L3 | khyung chen V8 p448 468,A010__B005,A005__B010,68,494,33592,0.740668,0.726554,0.726554,0.014114,0.427822,0.430854,0.427822,0.003032,0.531009,0.545387,0.531009,0.014378,0.470176,0.473008,0.470176,0.002832,0.886364,0.676136,0.9375,0.332386,0.394886,0.687074,32,SMDG covers Txt-18,Many SMDG sentences find strong Txt-18 matches in both runs; useful for testing whether SMDG draws on that text family.
12-SMDG-lhug-par-bzhag-pa.txt,L3-khyung-chen_p447-468.txt,12-SMDG-lhug-par-bzhag-pa,L3-khyung-chen_p447-468,SMDG 12 | lhug par bzhag pa,Txt-18 L3 | khyung chen p447 468,A014__B006,A006__B014,192,494,94848,0.697044,0.705384,0.697044,0.00834,0.425188,0.431106,0.425188,0.005918,0.530284,0.538783,0.530284,0.008499,0.488942,0.496015,0.488942,0.007073,0.78125,0.599432,0.923295,0.514205,0.59091,0.686364,33,SMDG covers Txt-18,Many SMDG sentences find strong Txt-18 matches in both runs; useful for testing whether SMDG draws on that text family.
11-SMDG-sems-lung-rgyun-thag-_grel.txt,L5_nam-mkha_-che-rgyas-pa-yi-ge-med-pa_V8-p.468-473.txt,11-SMDG-sems-lung-rgyun-thag-_grel,L5_nam-mkha_-che-rgyas-pa-yi-ge-med-pa_V8-p.468-473,SMDG 11 | sems lung rgyun thag grel,Txt-18 L5 | nam mkha che rgyas pa yi ge med pa V8 p.468 473,A013__B009,A009__B013,122,127,15494,0.687144,0.692116,0.687144,0.004972,0.437968,0.436911,0.436911,0.001057,0.504023,0.503189,0.503189,0.000833,0.486749,0.485277,0.485277,0.001472,0.715909,0.806818,0.730114,0.448864,0.71875,0.684517,34,Mixed signal,"Worth checking only after stronger survival candidates, or as a contrast case."
09c-SMDG-rgyun-thag-grel-147-160.txt,LL11_kun-_dus-NGB-mtshams-brag-vol1-624-626་.txt,09c-SMDG-rgyun-thag-grel-147-160,LL11_kun-_dus-NGB-mtshams-brag-vol1-624-626་,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL11 | kun dus NGB mtshams brag vol1 624 626,A011__B020,A020__B011,356,41,14596,0.668254,0.649348,0.649348,0.018905,0.446832,0.445059,0.445059,0.001773,0.472356,0.472549,0.472356,0.000194,0.537951,0.529753,0.529753,0.008198,0.380682,0.909091,0.420455,0.815341,0.605114,0.684233,35,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
09b-SMDG-rgyun-thag-gzhung-145-147.txt,L3-khyung-chen_p447-468.txt,09b-SMDG-rgyun-thag-gzhung-145-147,L3-khyung-chen_p447-468,SMDG 09b | rgyun thag gzhung 145 147,Txt-18 L3 | khyung chen p447 468,A010__B006,A006__B010,68,494,33592,0.740668,0.726554,0.726554,0.014114,0.427822,0.430854,0.427822,0.003032,0.531009,0.545387,0.531009,0.014378,0.470176,0.473008,0.470176,0.002832,0.883523,0.673295,0.934659,0.329545,0.394886,0.684233,36,SMDG covers Txt-18,Many SMDG sentences find strong Txt-18 matches in both runs; useful for testing whether SMDG draws on that text family.
12-SMDG-lhug-par-bzhag-pa.txt,LL04_byang-chub-sems-tig.-Liljenberg-p273.txt,12-SMDG-lhug-par-bzhag-pa,LL04_byang-chub-sems-tig.-Liljenberg-p273,SMDG 12 | lhug par bzhag pa,Txt-18 LL04 | byang chub sems tig. Liljenberg p273,A014__B013,A013__B014,192,19,3648,0.640225,0.663066,0.640225,0.022841,0.455031,0.45916,0.455031,0.004129,0.462619,0.471347,0.462619,0.008727,0.525536,0.532151,0.525536,0.006615,0.375,0.982955,0.349432,0.784091,0.565341,0.683665,37,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
09c-SMDG-rgyun-thag-grel-147-160.txt,0-Older-versions/L1-rig-pa_i-khu-byug_p302-324.txt,09c-SMDG-rgyun-thag-grel-147-160,L1-rig-pa_i-khu-byug_p302-324,SMDG 09c | rgyun thag grel 147 160,Txt-18 older witness | L1 | rig pa i khu byug p302 324,A011__B001,A001__B011,356,516,183696,0.681266,0.685516,0.681266,0.004251,0.42423,0.425733,0.42423,0.001503,0.541586,0.546676,0.541586,0.005091,0.506084,0.506732,0.506084,0.000648,0.676136,0.517045,0.977273,0.627841,0.650568,0.683665,38,SMDG covers Txt-18,Many SMDG sentences find strong Txt-18 matches in both runs; useful for testing whether SMDG draws on that text family.
12-SMDG-lhug-par-bzhag-pa.txt,LL09_spyi-gcod_vol8_p.498.txt,12-SMDG-lhug-par-bzhag-pa,LL09_spyi-gcod_vol8_p.498,SMDG 12 | lhug par bzhag pa,Txt-18 LL09 | spyi gcod vol8 p.498,A014__B018,A018__B014,192,21,4032,0.682371,0.722353,0.682371,0.039982,0.441952,0.452598,0.441952,0.010646,0.452743,0.466101,0.452743,0.013358,0.520431,0.538746,0.520431,0.018314,0.707386,0.914773,0.28125,0.741477,0.539773,0.68196,39,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
